date,time,age,confirmed,deceased
2020.5.24,0,30s,1235,2
2020.5.24,0,40s,1481,3
2020.5.24,0,50s,1987,15
2020.5.24,0,60s,1375,39
2020.5.24,0,70s,719,78
2020.5.24,0,80s,491,129
2020.5.25,0,0s,149,0
2020.5.25,0,10s,637,0
2020.5.25,0,20s,3120,0
2020.5.25,0,30s,1238,2
2020.5.25,0,40s,1483,3
2020.5.25,0,50s,1992,15
2020.5.25,0,60s,1377,39
2020.5.25,0,70s,719,79
2020.5.25,0,80s,491,129
2020.5.26,0,0s,150,0
2020.5.26,0,10s,638,0
2020.5.26,0,20s,3123,0
2020.5.26,0,30s,1242,2
2020.5.26,0,40s,1486,3
2020.5.26,0,50s,1996,15
2020.5.26,0,60s,1378,39
2020.5.26,0,70s,721,79
2020.5.26,0,80s,491,131
2020.5.27,0,0s,153,0
2020.5.27,0,10s,640,0
2020.5.27,0,20s,3131,0
2020.5.27,0,30s,1248,2
2020.5.27,0,40s,1489,3
2020.5.27,0,50s,2002,15
2020.5.27,0,60s,1386,39
2020.5.27,0,70s,724,79
2020.5.27,0,80s,492,131
2020.5.28,0,0s,155,0
2020.5.28,0,10s,644,0
2020.5.28,0,20s,3146,0
2020.5.28,0,30s,1274,2
2020.5.28,0,40s,1503,3
2020.5.28,0,50s,2014,15
2020.5.28,0,60s,1392,39
2020.5.28,0,70s,724,79
2020.5.28,0,80s,492,131
2020.5.29,0,0s,156,0
2020.5.29,0,10s,650,0
2020.5.29,0,20s,3158,0
2020.5.29,0,30s,1283,2
2020.5.29,0,40s,1513,3
2020.5.29,0,50s,2023,15
2020.5.29,0,60s,1400,39
2020.5.29,0,70s,724,79
2020.5.29,0,80s,495,131
2020.5.30,0,0s,157,0
2020.5.30,0,10s,655,0
2020.5.30,0,20s,3167,0
2020.5.30,0,30s,1285,2
2020.5.30,0,40s,1517,3
2020.5.30,0,50s,2033,15
2020.5.30,0,60s,1404,39
2020.5.30,0,70s,725,79
2020.5.30,0,80s,498,131
2020.5.31,0,0s,157,0
2020.5.31,0,10s,655,0
2020.5.31,0,20s,3176,0
2020.5.31,0,30s,1292,2
2020.5.31,0,40s,1521,3
2020.5.31,0,50s,2039,15
2020.5.31,0,60s,1405,39
2020.5.31,0,70s,725,80
2020.5.31,0,80s,498,131
2020.6.1,0,0s,158,0
2020.6.1,0,10s,657,0
2020.6.1,0,20s,3178,0
2020.6.1,0,30s,1296,2
2020.6.1,0,40s,1527,3
2020.6.1,0,50s,2052,15
2020.6.1,0,60s,1410,39
2020.6.1,0,70s,727,80
2020.6.1,0,80s,498,132
2020.6.2,0,0s,158,0
2020.6.2,0,10s,659,0
2020.6.2,0,20s,3183,0
2020.6.2,0,30s,1299,2
2020.6.2,0,40s,1529,3
2020.6.2,0,50s,2061,15
2020.6.2,0,60s,1421,39
2020.6.2,0,70s,732,80
2020.6.2,0,80s,499,133
2020.6.3,0,0s,159,0
2020.6.3,0,10s,661,0
2020.6.3,0,20s,3188,0
2020.6.3,0,30s,1305,2
2020.6.3,0,40s,1534,3
2020.6.3,0,50s,2070,15
2020.6.3,0,60s,1436,39
